sta,chan,net,loction,lat,lon,rate
IDY,HNZ,CI,--,33.75,-116.72,100
IKP,HHZ,CI,--,32.65,-116.11,100
IMP,HHZ,CI,--,32.9,-115.56,100
IPT,HHZ,CI,--,34.2,-117.29,100
IRM,HHZ,CI,--,34.16,-115.15,100
ISA,HHZ,CI,--,35.66,-118.47,100
IVY,HNZ,CI,--,33.76,-117.48,100
JEM,HHZ,CI,--,33.08,-116.6,100
JNH2,HHZ,CI,--,34.45,-117.96,100
JRC2,HHZ,CI,--,35.98,-117.81,100
JTH,HHZ,CI,--,34.13,-116.04,100
JVA,HHZ,CI,--,34.37,-116.61,100
KIK,HNZ,CI,--,34.15,-118.1,100
KML,HNZ,CI,--,33.6,-117.88,100
KYV,HHZ,CI,--,33.93,-116.17,100
LAF,HHZ,CI,--,33.87,-118.33,100
LAT,HNZ,CI,--,34.04,-118.78,100
LBW1,HNZ,CI,0,33.8,-118.09,100
LBW2,HNZ,CI,1,33.8,-118.09,100
LCG,HHZ,CI,--,34,-118.38,100
LCP,HHZ,CI,--,34.74,-120.28,100
LDF,HHZ,CI,--,35.13,-115.18,100
LDR,HHZ,CI,--,34.99,-118.34,100
LEO,HNZ,CI,--,34.63,-118.31,100
LFP,HHZ,CI,--,34.31,-118.49,100
LGB,HHZ,CI,--,33.98,-118.15,100
LJR,HHZ,CI,--,34.81,-118.87,100
LKH,HHZ,CI,--,33.24,-116.76,100
LLS,HHZ,CI,--,33.68,-117.94,100
LMH,HHZ,CI,--,33.74,-117.39,100
LMR2,HHZ,CI,--,34.93,-117.7,100
LMS,HHZ,CI,--,33.82,-117.45,100
LMY,HHZ,CI,--,34.73,-119.1,100
LOC,HHZ,CI,--,34.69,-120.45,100
LPC,HHZ,CI,--,34.31,-117.55,100
LRL,HHZ,CI,--,35.48,-117.68,100
LRR2,HHZ,CI,--,34.53,-118.03,100
LTP,HHZ,CI,--,33.88,-118.18,100
LUC2,HHZ,CI,--,34.46,-116.96,100
LUG,HHZ,CI,--,34.37,-117.37,100
LUS,HHZ,CI,--,33.01,-117.16,100
LVY,HNZ,CI,--,34.17,-119.16,100
LYP,HHZ,CI,--,32.7,-116.75,100
MAG,HNZ,CI,--,35.36,-118.92,100
MCT,HHZ,CI,--,34.23,-116.04,100
MES,HNZ,CI,--,34.26,-119.1,100
MGE,HHZ,CI,--,33.82,-116.37,100
MIKB,HNZ,CI,--,34.14,-118.13,200
MIS,HNZ,CI,0,33.74,-118.34,100
MLAC,HHZ,CI,--,37.63,-118.84,100
MLS,HHZ,CI,--,34,-117.56,100
MMC,HNZ,CI,--,33.57,-117.76,100
MNO,HNZ,CI,--,33.95,-117.17,100
MOP,HHZ,CI,--,34.28,-118.9,100
MOR,HNZ,CI,--,33.5,-117.14,100
MPI,HHZ,CI,--,34.81,-119.15,100
MPM,HHZ,CI,--,36.06,-117.49,100
MPP,HHZ,CI,--,34.89,-119.81,100
MRS,HNZ,CI,--,35.43,-116.89,100
MSC,HHZ,CI,--,34.04,-116.65,100
MSJ,HHZ,CI,--,33.81,-116.97,100
MTA,HNZ,CI,--,33.43,-117.38,100
MTG,HHZ,CI,--,33.2,-116.65,100
MTP,HHZ,CI,--,35.48,-115.55,100
MUR,HHZ,CI,--,33.6,-117.2,100
MWC,HHZ,CI,--,34.22,-118.06,100
NBS,HHZ,CI,--,34.78,-116.56,100
NCH,HHZ,CI,--,34.94,-119.67,100
NEE2,HHZ,CI,--,34.77,-114.62,100
NEN,HNZ,CI,--,34.78,-118.5,100
NJQ,HHZ,CI,--,34.53,-120.18,100
NOT,HNZ,CI,--,34.23,-118.56,100
NPN,HNZ,CI,--,35.47,-115.27,100
NSS2,HHZ,CI,--,33.56,-115.95,100
NWH,HNZ,CI,--,33.73,-117.75,100
OAT,HHZ,CI,--,34.34,-118.61,100
OCP,HNZ,CI,--,32.75,-116.02,100
OGC,HNZ,CI,--,33.79,-117.84,100
OLI,HHZ,CI,--,33.95,-117.92,100
OLP,HHZ,CI,--,32.61,-116.93,100
OSI,HHZ,CI,--,34.61,-118.72,100
PALA,HHZ,CI,--,33.39,-117.03,100
PASC,HHZ,CI,10,34.17,-118.19,100
PDE,HHZ,CI,--,34.44,-118.58,100
PDM,HHZ,CI,--,34.3,-114.14,100
PDR,HHZ,CI,--,33.96,-118.44,100
PDU,HHZ,CI,--,34.12,-117.64,100
PDW,HNZ,CI,--,33.92,-117.62,100
PER,HHZ,CI,--,33.86,-117.21,100
PGA,HNZ,CI,--,33.49,-117.06,100
PHL,HHZ,CI,--,35.41,-120.55,100
PLM,HHZ,CI,--,33.35,-116.86,100
PLS,HHZ,CI,--,33.8,-117.61,100
PMD,HHZ,CI,--,33.65,-116.38,100
POB2,HHZ,CI,--,33.69,-116.92,100
PSD,HHZ,CI,--,33.82,-116.55,100
PSR,HHZ,CI,--,34.09,-117.81,100
PTD,HNZ,CI,--,34,-118.81,100
PUT,HNZ,CI,--,34.69,-117.97,100
QAD,HNZ,CI,--,34.42,-119.61,100
QLC,HHZ,CI,--,35.04,-119.97,100
QUG,HNZ,CI,--,34.4,-118.5,100
RAG,HHZ,CI,--,34.68,-116.15,100
RCT,HNZ,CI,--,36.31,-119.24,100
RCU,HNZ,CI,--,34.08,-117.52,100
RFR,HHZ,CI,--,35.11,-120.1,100
RHC2,HHZ,CI,--,34,-118.01,100
RHR,HHZ,CI,--,33.29,-117.18,100
RIN,HHZ,CI,--,34.28,-118.48,100
RINB,HNZ,CI,1,34.28,-118.48,100
RIO,HHZ,CI,--,34.1,-117.98,100
RKMO,HHZ,CI,--,33.67,-117.61,100
RMM,HNZ,CI,--,34.64,-116.62,100
RPV,HHZ,CI,--,33.74,-118.4,100
RRX,HHZ,CI,--,34.88,-117,100
RSB,HNZ,CI,1,33.97,-117.33,100
RSI,HHZ,CI,--,34.85,-120.21,100
RSS,HHZ,CI,--,33.97,-117.33,100
RUN,HHZ,CI,--,32.97,-114.98,100
RUS,HHZ,CI,--,34.05,-118.08,100
RVR,HHZ,CI,--,33.99,-117.38,100
RXH,HHZ,CI,--,33.18,-115.62,100
SAL,HHZ,CI,--,33.28,-115.99,100
SAN,HNZ,CI,--,33.7,-117.89,100
SBB2,HHZ,CI,--,34.69,-117.82,100
SBC,HHZ,CI,--,34.44,-119.71,100
SBI,HHZ,CI,--,33.48,-119.03,100
SBPX,HHZ,CI,--,34.23,-117.23,100
SCI2,HHZ,CI,--,32.98,-118.55,100
SCZ2,HHZ,CI,--,34,-119.64,100
SDD,HHZ,CI,--,33.55,-117.66,100
SDG,HHZ,CI,--,32.78,-117.14,100
SDR,HHZ,CI,--,32.74,-116.94,100
SES,HHZ,CI,--,34.44,-119.14,100
SGL,HHZ,CI,--,32.65,-115.73,100
SHO,HHZ,CI,--,35.9,-116.28,100
SHU,HNZ,CI,--,34.64,-118.16,100
SIL,HNZ,CI,--,34.35,-116.83,100
SLA,HHZ,CI,--,35.89,-117.28,100
SLB,HHZ,CI,--,33.49,-115.87,100
SLH,HHZ,CI,--,33.19,-116.25,100
SLM,HNZ,CI,--,34.45,-118.42,100
SLR,HHZ,CI,--,33.83,-116.8,100
SMF2,HHZ,CI,--,34.02,-118.45,100
SMI,HHZ,CI,--,34.04,-120.35,100
SMM,HHZ,CI,--,35.31,-120,100
SMR,HHZ,CI,--,35.38,-120.61,100
SMT,HNZ,CI,--,34.33,-119.01,100
SMV,HNZ,CI,--,34.27,-118.74,100
SMW,HHZ,CI,--,35.01,-120.41,100
SNCC,HHZ,CI,--,33.25,-119.52,100
SNO,HHZ,CI,--,34.04,-116.81,100
SNR,HHZ,CI,--,32.86,-115.44,100
SOC,HHZ,CI,--,33.39,-117.58,100
