net,sta,chan,location,lat,lon,rate
BK,WDC,BHZ,0,40.58,-122.54,40
BK,WDC,HHZ,0,40.58,-122.54,100
BK,WDC,HNZ,0,40.58,-122.54,100
BK,WENL,BHZ,0,37.62,-121.76,40
BK,WENL,HHZ,0,37.62,-121.76,100
BK,WENL,HNZ,0,37.62,-121.76,100
BK,YBH,BHZ,50,41.73,-122.71,40
BK,YBH,BHZ,0,41.73,-122.71,40
BK,YBH,HHZ,50,41.73,-122.71,100
BK,YBH,HHZ,0,41.73,-122.71,100
BK,YBH,HNZ,0,41.73,-122.71,100
CC,ASBU,BHZ,--,43.82,-121.37,50
CC,CIHL,BHZ,--,43.75,-121.15,50
CC,CLBH,BHZ,--,42.91,-122.14,50
CC,CPCO,BHZ,--,43.72,-121.23,50
CC,JRO,BHZ,--,46.28,-122.22,50
CC,NORM,BHZ,--,43.74,-121.25,50
CC,OBSR,BHZ,--,46.9,-121.82,50
CC,PR01,BHZ,--,46.91,-122.04,50
CC,PR02,BHZ,--,46.92,-122.05,50
CC,PR03,BHZ,--,46.9,-122.03,50
CC,PR04,BHZ,--,46.93,-121.99,50
CC,PR05,BHZ,--,46.84,-121.95,50
CC,PRLK,BHZ,--,44.21,-121.96,50
CC,SHRK,BHZ,--,45.46,-121.53,50
CC,STD,BHZ,--,46.24,-122.22,50
CC,SWF2,BHZ,--,46.18,-122.22,50
CC,SWNB,BHZ,--,43.67,-121.36,50
CC,TCBU,BHZ,--,44.24,-121.66,50
CC,TMBU,BHZ,--,43.6,-121.14,50
CC,VALT,BHZ,--,46.21,-122.19,50
CC,WIFE,BHZ,--,44.06,-121.82,50
CE,2143,HNZ,10,32.84,-116.97,100
CE,3121,HNZ,10,32.75,-117.24,100
CE,3145,HNZ,10,32.71,-117.16,100
CE,3148,HNZ,10,32.74,-117.08,100
CE,3156,HNZ,10,32.92,-117.14,100
CE,3260,HNZ,10,32.95,-117.04,100
CE,3468,HNZ,10,32.58,-117.08,100
CE,3471,HNZ,10,32.67,-117.08,100
CE,3521,HNZ,10,32.88,-117.22,100
CE,13577,HNZ,10,33.93,-117.8,100
CE,13921,HNZ,10,33.98,-117.49,100
CE,14405,HNZ,--,33.79,-118.36,200
CE,14831,HNZ,10,33.79,-118.32,100
CE,14834,HNZ,10,33.92,-118.33,100
CE,23077,HNZ,10,34.06,-117.7,100
CE,23163,HNZ,10,34.12,-117.54,100
CE,23173,HNZ,10,34,-117.81,100
CE,23178,HNZ,10,34.13,-117.91,100
CE,23732,HNZ,--,34.22,-117.33,200
CE,23938,HNZ,10,34.02,-117.87,100
CE,23939,HNZ,10,34.12,-117.74,100
CE,24014,HNZ,10,34.04,-118.52,100
CE,24020,HNZ,10,34.08,-118.22,100
CE,24040,HNZ,10,34.03,-118.21,100
CE,24103,HNZ,10,34.16,-118.53,100
CE,24400,HNZ,1,34.04,-118.18,200
CE,24833,HNZ,10,34.06,-118.32,100
CE,24851,HNZ,--,34.07,-118.35,200
CE,24853,HNZ,--,34.08,-118.29,200
CE,24944,HNZ,10,34.23,-118.25,100
CE,24945,HNZ,10,34.16,-118.26,100
CE,35078,HNZ,10,35.37,-119.92,100
CE,35110,HNZ,10,35.26,-119.82,100
CE,35342,HNZ,10,35.26,-119.82,100
CE,36014,HNZ,10,35.3,-120.02,100
CI,ADO,HHZ,--,34.55,-117.43,100
CI,ADO,HNZ,--,34.55,-117.43,100
CI,AGM,HNZ,--,32.84,-114.78,100
CI,AGO,HNZ,--,34.15,-118.77,100
CI,ALP,HHZ,--,34.69,-118.3,100
CI,ALP,HNZ,--,34.69,-118.3,100
CI,APL,HNZ,--,35.34,-116.87,100
CI,ARV,HHZ,--,35.13,-118.83,100
CI,ARV,HNZ,--,35.13,-118.83,100
CI,AVC,HNZ,--,33.33,-118.34,100
CI,AVM,HHZ,--,35.07,-116.62,100
CI,AVM,HNZ,--,35.07,-116.62,100
CI,BAC,HNZ,--,33.61,-117.04,100
CI,BAI,HNZ,--,34.78,-118.77,100
CI,BAK,HHZ,--,35.34,-119.1,100
CI,BAK,HNZ,--,35.34,-119.1,100
CI,BAR,HHZ,--,32.68,-116.67,100
CI,BAR,HNZ,--,32.68,-116.67,100
CI,BBR,HHZ,--,34.26,-116.92,100
CI,BBR,HNZ,--,34.26,-116.92,100
CI,BBS,HHZ,--,33.92,-116.98,100
CI,BBS,HNZ,--,33.92,-116.98,100
CI,BC3,HHZ,--,33.66,-115.45,100
CI,BC3,HNZ,--,33.66,-115.45,100
CI,BCW,HHZ,--,34.94,-119.41,100
CI,BCW,HNZ,--,34.94,-119.41,100
CI,BEL,HHZ,--,34,-116,100
CI,BEL,HNZ,--,34,-116,100
CI,BFS,HHZ,--,34.24,-117.66,100
CI,BFS,HNZ,--,34.24,-117.66,100
CI,BHP,HHZ,--,33.99,-118.36,100
CI,BHP,HNZ,--,33.99,-118.36,100
CI,BLA2,HHZ,--,34.07,-116.39,100
CI,BLA2,HNZ,--,34.07,-116.39,100
CI,BLC,HHZ,--,34.24,-118.67,100
CI,BLC,HNZ,--,34.24,-118.67,100
CI,BLY,HHZ,--,33.75,-114.52,100
CI,BLY,HNZ,--,33.75,-114.52,100
CI,BOM,HHZ,--,33.36,-115.73,100
CI,BOM,HNZ,--,33.36,-115.73,100
CI,BOR,HHZ,--,33.27,-116.42,100
CI,BOR,HNZ,--,33.27,-116.42,100
CI,BRE,HHZ,--,33.81,-117.98,100
CI,BRE,HNZ,--,33.81,-117.98,100
CI,BTP,HHZ,--,34.68,-118.57,100
CI,BTP,HNZ,--,34.68,-118.57,100
CI,BUE,HNZ,--,34.61,-120.2,100
CI,CAC,HNZ,--,34.14,-118.12,100
CI,CAR,HHZ,--,35.31,-119.85,100
CI,CAR,HNZ,--,35.31,-119.85,100
CI,CCA,HHZ,--,35.15,-118.02,100
CI,CCA,HNZ,--,35.15,-118.02,100
CI,CCC,HHZ,--,35.52,-117.36,100
CI,CCC,HNZ,--,35.52,-117.36,100
CI,CFD,HNZ,--,34.4,-119.52,100
CI,CFS,HNZ,0,34.11,-117.28,100
CI,CFS,HNZ,1,34.11,-117.28,100
CI,CFT,HNZ,--,34.04,-117.11,100
CI,CGO,HHZ,--,36.55,-117.8,100
CI,CGO,HNZ,--,36.55,-117.8,100
CI,CHF,HHZ,--,34.33,-118.03,100
CI,CHF,HNZ,--,34.33,-118.03,100
CI,CHI,HNZ,--,34.18,-119.22,100
CI,CHK,HNZ,--,34.07,-118.97,100
CI,CHN,HHZ,--,34,-117.68,100
CI,CHN,HNZ,--,34,-117.68,100
CI,CHR,HHZ,--,34.73,-119.39,100
CI,CHR,HNZ,--,34.73,-119.39,100
CI,CIA,HHZ,--,33.4,-118.42,100
CI,CIA,HNZ,--,33.4,-118.42,100
CI,CJM,HHZ,--,34.27,-117.42,100
CI,CJM,HNZ,--,34.27,-117.42,100
CI,CJV2,HHZ,--,34.53,-118.14,100
CI,CJV2,HNZ,--,34.53,-118.14,100
CI,CKP,HHZ,--,33.56,-114.89,100
CI,CKP,HNZ,--,33.56,-114.89,100
CI,CLC,HHZ,--,35.82,-117.6,100
CI,CLC,HNZ,--,35.82,-117.6,100
CI,CLI2,HNZ,--,33.12,-115.58,100
CI,CLO,HNZ,--,34.22,-119.01,100
CI,CLT,HHZ,--,34.09,-117.32,100
CI,CLT,HNZ,--,34.09,-117.32,100
CI,COA,HHZ,--,32.86,-115.12,100
CI,COA,HNZ,--,32.86,-115.12,100
CI,COK2,HNZ,--,32.85,-115.73,100
CI,CPO,HNZ,--,32.64,-116.49,100
CI,CPT2,HNZ,--,33.34,-117.33,100
CI,CRF,HNZ,--,33.87,-118.04,100
CI,CRG,HHZ,--,35.24,-119.72,100
CI,CRG,HNZ,--,35.24,-119.72,100
CI,CRN,HNZ,--,33.88,-117.56,100
CI,CRR,HHZ,--,32.89,-115.97,100
CI,CRR,HNZ,--,32.89,-115.97,100
CI,CSH,HHZ,--,33.64,-116.6,100
CI,CSH,HNZ,--,33.64,-116.6,100
CI,CSL,HNZ,--,34.5,-118.62,100
CI,CTC,HHZ,--,33.66,-115.99,100
CI,CTC,HNZ,--,33.66,-115.99,100
CI,CTW,HHZ,--,33.68,-115.87,100
CI,CTW,HNZ,--,33.68,-115.87,100
CI,CVW,HNZ,--,34.92,-118.94,100
CI,CWC,HHZ,--,36.44,-118.08,100
CI,CWC,HNZ,--,36.44,-118.08,100
CI,CZN,HNZ,--,33.91,-116.78,100
CI,DAN,HHZ,--,34.64,-115.38,100
CI,DAN,HNZ,--,34.64,-115.38,100
CI,DAW,HHZ,--,36.27,-117.59,100
CI,DAW,HNZ,--,36.27,-117.59,100
CI,DEC,HHZ,--,34.25,-118.33,100
CI,DEC,HNZ,--,34.25,-118.33,100
CI,DEV,HHZ,--,33.94,-116.58,100
CI,DEV,HNZ,--,33.94,-116.58,100
CI,DGR,HHZ,--,33.65,-117.01,100
CI,DGR,HNZ,--,33.65,-117.01,100
CI,DJJ,HHZ,--,34.11,-118.46,100
CI,DJJ,HNZ,--,34.11,-118.46,100
CI,DJJB,HNZ,1,34.11,-118.46,100
CI,DLA,HHZ,--,33.85,-118.1,100
CI,DLA,HNZ,--,33.85,-118.1,100
CI,DNR,HHZ,--,33.57,-116.63,100
CI,DNR,HNZ,--,33.57,-116.63,100
CI,DPP,HHZ,--,33,-116.94,100
CI,DPP,HNZ,--,33,-116.94,100
CI,DRE,HHZ,--,32.81,-115.45,100
CI,DRE,HNZ,--,32.81,-115.45,100
CI,DSC,HHZ,--,35.14,-116.1,100
CI,DSC,HNZ,--,35.14,-116.1,100
CI,DTC,HNZ,--,34.42,-118.66,100
CI,DTP,HHZ,--,35.27,-117.85,100
CI,DTP,HNZ,--,35.27,-117.85,100
CI,DZA,HHZ,--,32.61,-116.77,100
CI,DZA,HNZ,--,32.61,-116.77,100
CI,EDW2,HHZ,--,34.88,-117.99,100
CI,EDW2,HNZ,--,34.88,-117.99,100
CI,ELS2,HHZ,--,33.65,-117.43,100
CI,ELS2,HNZ,--,33.65,-117.43,100
CI,EML,HHZ,--,32.89,-116.85,100
CI,EML,HNZ,--,32.89,-116.85,100
CI,EMS,HNZ,--,32.74,-114.99,100
CI,EOC,HNZ,--,34.45,-119.77,100
CI,ERR,HHZ,--,33.12,-115.82,100
CI,ERR,HNZ,--,33.12,-115.82,100
CI,ESI,HNZ,--,33.67,-117.33,100
CI,FHO,HHZ,--,34.09,-116.94,100
CI,FHO,HNZ,--,34.09,-116.94,100
CI,FIG,HHZ,--,34.73,-119.99,100
CI,FIG,HNZ,--,34.73,-119.99,100
CI,FMO,HNZ,--,34.41,-118.92,100
CI,FMP,HHZ,--,33.71,-118.29,100
CI,FMP,HNZ,--,33.71,-118.29,100
CI,FON,HNZ,--,34.1,-117.44,100
CI,FOX2,HHZ,--,34.73,-118.24,100
CI,FOX2,HNZ,--,34.73,-118.24,100
CI,FRM,HNZ,--,34.78,-118.97,100
CI,FUL,HNZ,--,33.87,-117.92,100
CI,FUR,HHZ,--,36.47,-116.86,100
CI,FUR,HNZ,--,36.47,-116.86,100
CI,GATR,HHZ,--,34.55,-120.5,100
CI,GATR,HNZ,--,34.55,-120.5,100
CI,GCC,HNZ,--,34.33,-118.32,100
CI,GFF,HNZ,--,34.92,-115.07,100
CI,GFS,HNZ,--,34.48,-120.21,100
CI,GLA,HHZ,--,33.05,-114.83,100
CI,GLA,HNZ,--,33.05,-114.83,100
CI,GMA,HHZ,--,34.29,-116.38,100
CI,GMA,HNZ,--,34.29,-116.38,100
CI,GMR,HHZ,--,34.78,-115.66,100
CI,GMR,HNZ,--,34.78,-115.66,100
CI,GOR,HHZ,--,33.15,-117.23,100
CI,GOR,HNZ,--,33.15,-117.23,100
CI,GOU,HNZ,--,34.22,-118.19,100
CI,GR2,HHZ,--,34.12,-118.3,100
CI,GR2,HNZ,1,34.12,-118.3,100
CI,GRA,HHZ,--,37,-117.37,100
CI,GRA,HNZ,--,37,-117.37,100
CI,GSA,HNZ,--,34.14,-118.13,100
CI,GSC,HHZ,--,35.3,-116.81,100
CI,GSC,HNZ,--,35.3,-116.81,100
CI,GVR,HNZ,--,34.05,-118.12,100
CI,HAR,HHZ,--,35.01,-117.3,100
CI,HAR,HNZ,--,35.01,-117.3,100
CI,HAY,HHZ,--,33.71,-115.64,100
CI,HAY,HNZ,--,33.71,-115.64,100
CI,HDH,HHZ,--,34.78,-118.64,100
CI,HDH,HNZ,--,34.78,-118.64,100
CI,HEC,HHZ,--,34.83,-116.34,100
CI,HEC,HNZ,--,34.83,-116.34,100
CI,HLL,HHZ,--,34.18,-118.36,100
CI,HLL,HNZ,--,34.18,-118.36,100
CI,HLN,HNZ,--,34.12,-117.22,100
CI,HMT2,HHZ,--,33.71,-117,100
CI,HMT2,HNZ,--,33.71,-117,100
CI,HOL,HHZ,--,34.46,-117.85,100
CI,HOL,HNZ,--,34.46,-117.85,100
CI,HYS,HHZ,--,34.87,-117.57,100
CI,HYS,HNZ,--,34.87,-117.57,100
CI,IDO,HHZ,--,33.8,-116.22,100
CI,IDO,HNZ,--,33.8,-116.22,100
CI,IDQ,HNZ,--,33.77,-116.24,100
CI,IDY,HNZ,--,33.75,-116.72,100
CI,IKP,HHZ,--,32.65,-116.11,100
CI,IKP,HNZ,--,32.65,-116.11,100
CI,IMP,HHZ,--,32.9,-115.56,100
CI,IMP,HNZ,--,32.9,-115.56,100
CI,IPT,HHZ,--,34.2,-117.29,100
CI,IPT,HNZ,--,34.2,-117.29,100
CI,IRM,HHZ,--,34.16,-115.15,100
CI,IRM,HNZ,--,34.16,-115.15,100
CI,ISA,HHZ,--,35.66,-118.47,100
CI,ISA,HNZ,--,35.66,-118.47,100
CI,IVY,HNZ,--,33.76,-117.48,100
CI,JEM,HHZ,--,33.08,-116.6,100
CI,JEM,HNZ,--,33.08,-116.6,100
CI,JNH2,HHZ,--,34.45,-117.96,100
CI,JNH2,HNZ,--,34.45,-117.96,100
CI,JRC2,HHZ,--,35.98,-117.81,100
