sta,chan,net,location,lat,lon,rate
CABL,HNZ,UW,--,42.84,-124.56,200
CHZZ,HNZ,UW,--,45.49,-123.98,200
CNNB,HNZ,UW,--,45.89,-123.96,200
COOS,HNZ,UW,--,43.4,-124.25,200
CORE,HNZ,UW,--,46.93,-123.92,200
CTR,HNZ,UW,--,47.62,-122.35,200
DREG,HNZ,UW,--,45.57,-122.72,200
ERW,HNZ,UW,--,48.45,-122.63,200
FINN,HNZ,UW,--,47.72,-122.23,200
FLRE,HNZ,UW,--,43.99,-124.11,200
GRE,HNZ,UW,--,47.67,-122.34,200
H2E,HNZ,UW,--,46.56,-119.53,200
H2W,HNZ,UW,--,46.55,-119.65,200
H3A,HNZ,UW,--,46.36,-119.28,200
H4A,HNZ,UW,--,46.44,-119.36,200
HART,HNZ,UW,--,47.58,-122.35,200
HURR,HNZ,UW,--,47.97,-123.5,200
KCAM,HNZ,UW,--,47.54,-122.32,200
KDK,HNZ,UW,--,47.6,-122.33,200
KEYP,HNZ,UW,--,47.24,-122.77,200
KFAL,HNZ,UW,--,42.26,-121.79,200
KIMR,HNZ,UW,--,47.5,-122.77,200
KINR,HNZ,UW,--,47.75,-122.64,200
LEVE,HNZ,UW,--,45.59,-122.64,200
LWCK,HNZ,UW,--,46.28,-124.05,200
MAC,HNZ,UW,--,47.25,-122.53,200
MAUP,HNZ,UW,--,45.18,-121.08,200
MKAH,HNZ,UW,--,48.37,-124.59,200
MNWA,HNZ,UW,--,47.57,-122.53,200
MONO,HNZ,UW,--,44.85,-123.24,200
MRN,HNZ,UW,--,47.59,-122.23,200
MS99,HNZ,UW,--,47.64,-122.14,200
NEWO,HNZ,UW,--,44.62,-124.05,200
NMRF,HNZ,UW,--,47.43,-122.98,200
NOB,HNZ,UW,--,47.64,-122.35,200
NWPT,HNZ,UW,--,47.55,-122.17,200
OCEN,HNZ,UW,--,46.95,-124.16,200
ONAB,HNZ,UW,--,44.51,-124.07,200
OOW2,HNZ,UW,--,47.75,-124.18,200
PABH,HNZ,UW,--,47.21,-124.2,200
PAYL,HNZ,UW,--,47.19,-122.31,200
PCEP,HNZ,UW,--,47.11,-122.29,200
PIE,HNZ,UW,--,47.63,-122.38,200
PIER,HNZ,UW,--,47.58,-122.34,200
RBOK,HNZ,UW,--,45.54,-122.57,200
REED,HNZ,UW,--,43.7,-124.11,200
RNAV,HNZ,UW,--,47.58,-122.29,200
ROBC,HNZ,UW,--,45.31,-123.82,200
RSLG,HNZ,UW,--,45.02,-123.86,200
SAIL,HNZ,UW,--,45.54,-122.96,200
SEAS,HNZ,UW,--,46,-123.92,200
TAHO,HNZ,UW,--,47.34,-124.29,200
TILL,HNZ,UW,--,45.46,-123.83,200
UPL,HNZ,UW,--,47.21,-122.55,200
UPS,HNZ,UW,--,47.26,-122.48,200
WEDR,HNZ,UW,--,42.44,-124.41,200
WWHS,HNZ,UW,--,46.05,-118.32,200
YACH,HNZ,UW,--,44.32,-124.1,200
