net,sta,chan,location,lat,lon,rate
CI,DTP,none,none,35.267,-117.846,
CI,EDW2,none,none,34.881,-117.994,
CI,ELS2,none,none,33.649,-117.426,
CI,EML,none,none,32.891,-116.846,
CI,EMS,none,none,32.739,-114.985,
CI,EOC,none,none,34.45,-119.769,
CI,ERR,none,none,33.117,-115.823,
CI,ESI,none,none,33.674,-117.326,
CI,FHO,none,none,34.094,-116.936,
CI,FIG,none,none,34.728,-119.988,
CI,FON,none,none,34.1,-117.439,
CI,FOX2,none,none,34.734,-118.241,
CI,FRM,none,none,34.775,-118.969,
CI,FUL,none,none,33.872,-117.923,
CI,FUR,none,none,36.467,-116.863,
CI,GATR,none,none,34.553,-120.502,
CI,GLA,none,none,33.051,-114.827,
CI,GMA,none,none,34.291,-116.383,
CI,GMR,none,none,34.785,-115.66,
CI,GOR,none,none,33.154,-117.229,
CI,GOU,none,none,34.221,-118.188,
CI,GR2,none,none,34.118,-118.3,
CI,GRA,none,none,36.996,-117.366,
CI,GSA,none,none,34.137,-118.128,
CI,GSC,none,none,35.302,-116.806,
CI,GVR,none,none,34.05,-118.12,
CI,HAR,none,none,35.011,-117.299,
CI,HAY,none,none,33.707,-115.639,
CI,HEC,none,none,34.829,-116.335,
CI,HLL,none,none,34.176,-118.36,
CI,HLN,none,none,34.121,-117.219,
CI,HMT2,none,none,33.708,-117.001,
CI,HOL,none,none,34.458,-117.845,
CI,HYS,none,none,34.865,-117.57,
CI,IDO,none,none,33.797,-116.222,
CI,IDQ,none,none,33.768,-116.239,
CI,IDY,none,none,33.746,-116.715,
CI,IKP,none,none,32.65,-116.11,
CI,IMP,none,none,32.901,-115.561,
CI,IPT,none,none,34.197,-117.285,
CI,IRM,none,none,34.157,-115.145,
CI,ISA,none,none,35.663,-118.474,
CI,IVY,none,none,33.76,-117.477,
CI,JEM,none,none,33.081,-116.598,
CI,JNH2,none,none,34.449,-117.955,
CI,JRC2,none,none,35.983,-117.809,
CI,JVA,none,none,34.366,-116.613,
CI,KIK,none,none,34.15,-118.102,
CI,KML,none,none,33.597,-117.879,
CI,KYV,none,none,33.925,-116.173,
CI,LAF,none,none,33.869,-118.331,
CI,LAT,none,none,34.044,-118.776,
CI,LCG,none,none,34,-118.378,
CI,LCP,none,none,34.736,-120.28,
CI,LDF,none,none,35.131,-115.184,
CI,LDR,none,none,34.991,-118.342,
CI,LEO,none,none,34.631,-118.305,
CI,LFP,none,none,34.305,-118.488,
CI,LGB,none,none,33.975,-118.149,
CI,LJR,none,none,34.808,-118.868,
CI,LKH,none,none,33.236,-116.759,
CI,LLS,none,none,33.685,-117.943,
CI,LMR2,none,none,34.934,-117.696,
CI,LMS,none,none,33.817,-117.445,
CI,LMY,none,none,34.733,-119.104,
CI,LOC,none,none,34.691,-120.447,
CI,LPC,none,none,34.315,-117.546,
CI,LRL,none,none,35.48,-117.682,
CI,LRR2,none,none,34.527,-118.03,
CI,LTP,none,none,33.881,-118.176,
CI,LUC2,none,none,34.456,-116.964,
CI,LUG,none,none,34.366,-117.367,
