net,sta,chan,location,lat,lon,rate
NP,NP.1863,none,none,37.667,-121.857,
NP,NP.1872,none,none,37.426,-122.078,
NP,NP.1591,none,none,40.10518,-123.79058,
NP,NS0055,none,none,37.68257,-119.81433,
NP,NS1047,none,none,37.41208,-122.05911,
NP,NP.1762,none,none,38.09755,-122.56564,
NP,NP.1744,none,none,38.61618,-122.87231,
NP,NP.1764,none,none,38.50681,-122.47119,
NP,NP.1586,none,none,40.6443,-124.22064,
NP,NP.1023,none,none,40.5762,-124.2637,
NP,NP.1725,none,none,40.5441,-124.35439,
NP,NP.1582,none,none,40.69941,-124.20092,
NP,NP.1769,none,none,38.25536,-121.95715,
NP,NP.PLA,none,none,37.79871,-121.46313,
NP,NP.1680,none,none,37.68167,-118.39029,
NP,NP.1587,none,none,37.5836,-118.2369,
NP,NP.1765,none,none,38.33046,-122.31845,
NP,NP.1753,none,none,37.55957,-122.24851,
NP,NP.1756,none,none,37.73774,-122.2526,
NP,NP.1691,none,none,37.9266,-122.07851,
NP,NP.1752,none,none,37.46782,-122.30787,
NP,NP.1584,none,none,40.49761,-124.29448,
WR,NS0069,none,none,37.31373,-121.12491,
WR,NS0092,none,none,40.18,-120.607,
WR,NS0137,none,none,38.1197,-121.5401,
WR,NS0166,none,none,40.4588,-120.35674,
WR,NS0177,none,none,38.31455,-121.49196,
WR,WR.SCK,none,none,37.18352,-121.07006,
WR,NS1036,none,none,36.90732,-121.04993,
WR,NS2014,none,none,40.11709,-121.27912,
WR,NS5009,none,none,36.01191,-119.97571,
WR,NS5010,none,none,37.62795,-121.35168,
WR,NS5011,none,none,36.83378,-120.74182,
WR,NS5012,none,none,36.50018,-120.3547,
WR,NS5013,none,none,35.7079,-119.78353,
WR,NS5014,none,none,39.893,-120.1913,
WR,UG0114,none,none,39.76918,-120.43549,
WR,UG5000,none,none,37.82731,-121.56039,
WR,WR.FRI,none,none,36.992,-119.708,
WR,WR.HUF,none,none,40.04417,-120.885,
WR,WR.KPK,none,none,39.5835,-121.30534,
WR,UG5004,none,none,38.09245,-121.88494,
WR,WR.PAM,none,none,39.449,-121.51984,
WR,WR.SAC,none,none,38.5757,-121.4978,
WR,WR.SAQ,none,none,37.04583,-120.9485,
WR,WR.SLD,none,none,37.07467,-121.2205,
CE,CE.35511,none,none,35.00586,-119.21158,
CE,CE.44015,none,none,36.61186,-118.45128,
CE,CE.21513,none,none,34.10485,-115.60253,
CE,CE.35109,none,none,35.1141,-119.6462,
CE,CE.25459,none,none,34.5251,-119.6856,
CE,CE.25191,none,none,34.489,-119.508,
CE,CE.25084,none,none,34.8566,-119.2107,
CE,CE.25340,none,none,34.27887,-119.2997,
CE,CE.24907,none,none,32.58386,-114.35631,
CE,CE.24088,none,none,34.296,-118.375,
CE,CE.24765,none,none,34.219,-118.429,
CE,CE.24110,none,none,34.1086,-118.0578,
CE,CE.14935,none,none,33.8675,-118.2618,
CE,CE.25169,none,none,34.0152,-119.3635,
CE,CE.25325,none,none,34.2434,-119.1936,
CE,CE.25282,none,none,34.2082,-119.0797,
CE,CE.24857,none,none,34.1862,-118.9296,
CE,CE.13884,none,none,33.7667,-117.9178,
CE,CE.23417,none,none,34.0332,-117.6073,
CE,CE.13883,none,none,33.853,-117.857,
CE,CE.13122,none,none,33.8688,-117.7094,
CE,CE.13070,none,none,33.4851,-117.6689,
CE,CE.13477,none,none,33.1231,-117.1219,
CE,CE.13141,none,none,33.054,-117.245,
CE,CE.12500,none,none,33.0734,-116.7685,
CE,spare dot (CE.12092),none,none,33.4818,-116.9114,
CE,CE.12626,none,none,33.4262,-116.0788,
CE,CE.12478,none,none,33.08156,-116.44088,
CE,CE.02496,none,none,32.6511,-116.3656,
CI,NS501,none,none,35.10728,-120.5169,
CI,CI.LVO,none,none,34.62366,-119.78545,
CI,CI.CDD,none,none,32.58386,-114.35631,
CI,CI.SCOUT (Red Mtn Ventura),none,none,34.34611,-119.34539,
CI,CI.WBP,none,none,35.87887,-118.07405,
CI,CI.SCOUT (Torrey HLVEN),none,none,34.365,-118.77925,
CI,CI.BNC,none,none,33.94425,-117.70329,
CI,CI.SCOUT (Toro Pk RIV (USE TO REPLACE AZ.TRO)),none,none,33.5233,-116.42555,
CI,CI.SCOUT (USE TO REPLACE AZ.LVA2),none,none,33.39183,-116.5,
CI,CI.RCR,none,none,33.36237,-116.3096,
CI,CI.PLR,none,none,33.17349,-115.9777,
CI,CI.SPN,none,none,33.0299,-116.08538,
CI,CI.VLO,none,none,32.97182,-116.41064,
CI,CI.CYP (Cuyamaca Pk SD),none,none,32.90611,-116.62722,
CI,CI.RRC,none,none,35.36502,-118,
CI,CI.SCOUT,none,none,34.96013,-115.5,
CI,CI.SLV,none,none,33.23854,-115.30436,
CI,CI.VDJ,none,none,34.18986,-114.57145,
CI,CI.TER2?,none,none,35.33141,-119.36455,
CI,CI.ASP,none,none,35.86353,-119.4,
CI,CI.BCH,none,none,35.18542,-120.08522,
CI,CI.RYS,none,none,34.64341,-119.35224,
CI,CI.FRK,none,none,33.40209,-115.63835,
CI,CI.FLS or spare dot (CE.24354 - construction on grounds),none,none,34.97036,-117.03909,
CI,CI.SCOUT (Independence DOT MS (CE.14006)),none,none,36.80714,-118.20481,
CI,CI.SUN,none,none,34.21048,-117.69394,
CI,CI.ACP (CE.02659 - also in the state park),none,none,32.9424,-116.2768,
CI,CI.SCOUT (Soledad Mt SD 4 (AZ.SOL)),none,none,32.8395,-117.25308,
CI,CI.WWF,none,none,33.279,-115.579,
NN,NN.FMT,none,none,36.6375,-116.7835,
NN,NS550,none,none,37.0161,-117.94229,
NN,NN.MCA,none,none,36.6465,-117.2814,
NN,NS561,none,none,36.20761,-116.41539,
NN,NS562,none,none,35.80337,-116.41539,
NN,NS566,none,none,35.80337,-115.90643,
NP,NP.5221,none,none,33.38215,-116.68976,
,NS503,none,none,35.33583,-120.23713,
,NS506,none,none,34.92063,-120.06484,
,NS511,none,none,34.72853,-119.59397,
,NS517,none,none,34.56647,-118.98122,
,NS530,none,none,33.61741,-117.69385,
,NS531,none,none,33.57989,-117.53766,
,NS555,none,none,35.22201,-117.4826,
,NS560,none,none,34.59064,-116.92435,
,NS563,none,none,35.39913,-116.41539,
,NS565,none,none,34.59064,-116.41539,
,NS567,none,none,34.99488,-115.90643,
,NS579,none,none,36.11014,-119.10061,
,NS580,none,none,35.58227,-119.04811,
,UG584,none,none,32.81816,-117.05759,
UO,1106 alt,none,none,42.2303,-124.34467,
UO,1107 alt,none,none,42.47129,-124.16039,
UO,1108 alt,none,none,42.24199,-124.04607,
UO,1109 alt,none,none,42.4544,-123.61635,
UO,1111 alt,none,none,43.61437,-123.97976,
UO,1112 alt,none,none,42.92405,-123.8437,
UO,1113 alt,none,none,44.23468,-123.91858,
UO,1115 alt,none,none,44.79689,-123.54289,
UO,1116 alt,none,none,45.72105,-123.89589,
UO,1117 alt,none,none,46.1633,-123.93011,
UO,1118 alt,none,none,46.16188,-123.6239,
UO,1119 alt,none,none,46.06618,-123.28264,
UO,1120 alt,none,none,45.84575,-123.55343,
UO,1122 alt,none,none,45.52282,-123.65255,
UO,1124 alt,none,none,44.31264,-123.29902,
UO,1126 alt,none,none,44.39398,-122.98377,
UO,1127 alt/DUCK02,none,none,44.53498,-122.93087,
UO,1128 alt,none,none,43.89994,-123.34767,
UO,1129 alt,none,none,43.44759,-123.56094,
UO,1130 alt,none,none,45.04157,-123.25811,
UO,1131 alt,none,none,44.84471,-122.95383,
UO,1132 alt,none,none,45.10477,-122.89609,
UO,1133 alt,none,none,44.92651,-122.66652,
UO,1134 alt,none,none,45.17438,-122.69981,
